-130.85288814146787,-299.9999999999998
-129.987482466855,-299.67651149950984
-129.1160458612108,-299.3729706967408
-128.23906255143925,-299.08914131135145
-127.35700930653314,-298.82472877860266
-126.47035140285732,-298.57938396798056
-125.57953907454186,-298.3527072959994
-124.68500447771255,-298.14425311044863
-123.78715917881766,-297.9535342283672
-122.88639216098042,-297.78002651877966
-121.98306832857172,-297.6231734326933
-121.07752747928822,-297.4823903961276
-120.17008370496666,-297.3570689960921
-119.26102517702564,-297.24658090370565
-118.35061426954752,-297.1502814923988
-117.43908797225087,-297.0675131219116
-116.52665854659593,-296.9976080702339
-115.61351438062218,-296.9398911055673
-114.69982100148022,-296.89368169871625
-113.78572036099264,-296.8583623115046
-112.8713386727272,-296.8331865225633
-111.95678019074305,-296.8174522840329
-111.04213072242108,-296.81047318881053
-110.12745954190552,-296.8115636262762
-109.21282072844548,-296.8200390529662
-108.29825449421122,-296.8352160288936
-107.38378849534575,-296.85641204052376
-106.46943912304344,-296.8829451305887
-105.55521277415389,-296.9141333539281
-104.64110710320696,-296.94929407748145
-103.72711225986676,-296.9877431415042
-102.81321211770486,-297.0287938981363
-101.8993855018332,-297.0717561426719
-100.9856074244143,-297.1159349523257
-100.0718503383707,-297.16062944702776
-99.15808542077816,-297.20513148683574
-98.24428389844704,-297.24872432100585
-97.33041842907376,-297.2906812046298
-96.41646455207096,-297.3302640000885
-95.50240222372304,-297.3667217824312
-94.58821745162942,-297.3992894701954
-93.67390404343064,-297.4271865061887
-92.75946548447388,-297.4496156163767
-91.84491695827614,-297.46576167927515
-90.93028752225018,-297.47479074314265
-90.01562244902604,-297.4758492337646
-89.10098574065987,-297.46806340165494
-88.18646281887075,-297.4505390639636
-87.2721633889812,-297.4223617030672
-86.35860689272425,-297.3744680009314
-85.44724599344516,-297.2904052440533
-84.54012525066679,-297.1631971363754
-83.63926789869228,-296.9911378983361
-82.74754763685331,-296.769476593387
-81.86835078088731,-296.4945470439724
-81.00526121643932,-296.1643264014714
-80.16159755508892,-295.77885555870523
-79.339888077615,-295.3404054163468
-78.54140838295345,-294.85333915283513
-77.76652390205584,-294.3226674226112
-77.01305709099583,-293.7563359221561
-76.27704108147142,-293.16320882933144
-75.55410077127118,-292.5511496857405
-74.83945676144339,-291.9275501092858
-74.12764109842396,-291.3000965787529
-73.41394872796698,-290.6751967606449
-72.69430848207179,-290.058503240786
-71.96539427501403,-289.45496409690645
-71.22472342241144,-288.86877353761633
-70.47067859971611,-288.30331671751094
-69.70246010381393,-287.7611201068403
-68.91997960085607,-287.24382361236326
-68.12305363244809,-286.7535221526491
-67.31195440670828,-286.291851148688
-66.4789988453168,-285.8794256899096
-65.62758120206053,-285.5146457325843
-64.76278930816108,-285.1894056903159
-63.88810211493458,-284.8973492177456
-63.00682005899114,-284.629951204496
-62.121023699326514,-284.3809249410584
-61.23238998030743,-284.1442370463948
-60.34246459687501,-283.9133971675069
-59.45255463918281,-283.68248634346776
-58.564062684415006,-283.44516904831903
-57.67849693690584,-283.1951696543358
-56.798079598009,-282.92439553288364
-55.92537634578741,-282.6254169046226
-55.06416700349433,-282.28914336427306
-54.21993873529036,-281.90505819975454
-53.400624351945,-281.46143046045984
-52.61741800838149,-280.9460832664562
-51.88311455173206,-280.35105875537056
-51.19293929735085,-279.6957161125731
-50.53902166173839,-278.99730092751497
-49.91541904303148,-278.2664713042967
-49.31735000298178,-277.5105659782844
-48.73955342780343,-276.7360607340749
-48.177702600204015,-275.9476617355639
-47.6287538094864,-275.148479730589
-47.0887972317627,-274.3420161182099
-46.55509417557613,-273.53059604238047
-46.02461276569599,-272.71665723677177
-45.49462667061752,-271.90233316838965
-44.962344809215466,-271.08979927874634
-44.42491794057847,-270.28131966913986
-43.87934097068967,-269.4793867501977
-43.32258791007064,-268.6866788667164
-42.75063457207909,-267.90700648062466
-42.16011026104121,-267.14405848363447
-41.54647506039026,-266.4032102012792
-40.91017426828523,-265.68549505283386
-40.25806920346111,-264.9849331676362
-39.59081975551857,-264.30158211726416
-38.90920492187411,-263.63534277937504
